PLAYER,SEASON,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,ALLSTAR
Luka Doncic,2022,DAL,24,50,28,22,36.5,33.3,11.2,22.2,50.5,2.7,7.8,34.9,8.1,11.1,73,0.9,7.9,8.8,8.1,3.7,1.5,0.5,2.7,58.5,27,10,2.4,1
Joel Embiid,2022,PHI,29,45,30,15,34.9,33.1,11,20.5,53.7,1.1,3.1,35.5,9.9,11.6,85.8,1.8,8.4,10.2,4.1,3.5,1.2,1.5,3.2,55.8,29,1,6.7,1
Giannis Antetokounmpo,2022,MIL,28,47,35,12,33.1,31.8,11.3,21,53.8,0.8,3,27,8.4,13,64.6,2.3,9.9,12.2,5.4,4,0.8,0.8,3.4,55.2,35,3,5.1,1
Damian Lillard,2022,POR,32,46,23,23,36.2,31.4,9.5,20.2,46.7,4.2,11.2,37.2,8.3,9.1,91.6,0.6,3.7,4.3,7.3,3.2,0.8,0.3,1.9,47.7,13,1,2.4,1
Shai Gilgeous-Alexander,2022,OKC,24,53,25,28,35.4,30.8,10.2,20.1,50.8,0.9,2.6,34.3,9.5,10.5,91.2,0.9,3.8,4.7,5.7,2.9,1.6,1.1,2.7,50.2,3,0,2.7,1
Jayson Tatum,2022,BOS,25,55,40,15,37.3,30.6,9.9,21.4,46.4,3.3,9.3,35.7,7.4,8.6,86.4,1,7.6,8.6,4.5,2.9,1,0.8,2.2,50.3,22,1,7.3,1
LeBron James,2022,LAL,38,45,22,23,36.3,30,11.5,22.6,50.8,2.2,7,31,4.8,6.4,76.2,1.1,7.3,8.4,7,3.2,1,0.6,1.6,52,16,1,2.8,1
Kevin Durant,2022,PHX,34,39,26,13,36,29.7,10.5,18.8,55.9,1.8,4.8,37.6,6.8,7.3,93.4,0.4,6.4,6.7,5.3,3.5,0.8,1.5,2.4,49.1,5,1,4.8,1
Stephen Curry,2022,GSW,35,38,20,18,34.5,29.4,9.8,19.8,49.5,4.9,11.4,42.7,5,5.4,92.2,0.6,5.8,6.3,6.4,3.2,1,0.4,2.2,47.6,11,1,4.3,1
Ja Morant,2022,MEM,23,48,31,17,32.7,27.3,9.7,20.8,46.6,1.7,5.3,32,6.2,8.5,73.6,1.2,4.8,6,8.3,3.5,1,0.3,1.8,47.4,17,5,4.9,1
Donovan Mitchell,2022,CLE,26,50,33,17,35.5,27.3,9.5,19.8,48,3.6,9.4,38.7,4.7,5.3,87.3,0.9,3.1,4.1,4.9,2.7,1.5,0.4,2.3,42.4,4,0,5.3,1
Kyrie Irving,2022,DAL,31,44,26,18,37.1,27.2,10,20.3,49,3.3,8.7,37.9,4,4.5,89.3,1,4.1,5.1,5.4,2.3,1,0.8,2.8,44.7,4,0,3.5,1
Trae Young,2022,ATL,24,52,27,25,35.4,26.7,8.4,19.7,42.8,2.2,6.7,32.4,7.7,8.7,88.5,0.7,2.2,2.9,10.3,4.1,1,0.2,1.5,45.1,30,0,1.7,0
Devin Booker,2022,PHX,26,33,21,12,33.9,26.6,9.5,20.1,47.6,2.2,6.2,35.8,5.3,6.2,84.9,0.7,3.8,4.5,5.5,2.5,0.9,0.4,2.9,41.6,3,0,4.5,0
Jaylen Brown,2022,BOS,26,48,33,15,35.6,26.5,9.9,20.2,48.7,2.5,7.6,33.1,4.3,5.5,77.9,1.2,5.8,7,3.2,3,1.1,0.5,2.7,41.4,8,0,3.6,1
Anthony Davis,2022,LAL,30,35,16,19,33.4,26,9.8,17.5,56.2,0.4,1.5,25,6,7.3,82,3.3,9.1,12.3,2.5,2.1,1.2,2,2.7,51.9,26,0,1.6,0
Zion Williamson,2022,NOP,22,29,17,12,33,26,9.8,16.2,60.8,0.2,0.7,36.8,6.1,8.6,71.4,2,5,7,4.6,3.4,1.1,0.6,2.2,42.8,5,0,5.1,1
DeMar DeRozan,2022,CHI,33,53,25,28,36.3,25.4,9.1,18,50.7,0.5,1.6,31.8,6.6,7.5,88.1,0.4,4.2,4.7,5.1,2.2,1,0.5,2.7,40.8,3,0,0.9,1
Pascal Siakam,2022,TOR,29,49,23,26,37.6,25.2,9.1,18.8,48.2,1.4,4.1,34.3,5.7,7.5,76.5,1.9,5.9,7.8,6.1,2.6,0.8,0.6,3.4,45.3,16,2,1.9,1
Anthony Edwards,2022,MIN,21,61,31,30,36.2,24.9,9,19.4,46.4,2.7,7.3,36.4,4.3,5.5,77.6,0.6,5.3,5.9,4.5,3.4,1.6,0.6,2.5,42.1,7,0,0.9,1
Lauri Markkanen,2022,UTA,26,54,27,27,34.3,24.9,8.4,16.4,51.3,3,7.4,41.3,5,5.7,87.7,1.8,6.8,8.6,1.8,1.8,0.6,0.6,2.1,39.8,22,0,2.6,1
De'Aaron Fox,2022,SAC,25,52,31,21,34,24.8,9.2,18.2,50.7,1.5,4.7,32.5,4.8,6.1,79.7,0.5,3.8,4.3,6.2,2.7,1.1,0.3,2.5,40.8,9,0,2.4,1
Julius Randle,2022,NYK,28,60,33,27,35.9,24.8,8.4,18.2,46,2.7,8,33.8,5.3,7,75.5,2.2,8.6,10.8,4.1,2.8,0.7,0.3,3.1,43.9,38,0,1.9,1
Nikola Jokic,2022,DEN,28,51,38,13,33.6,24.7,9.4,14.9,63.2,0.8,2.2,39.1,5.1,6.2,82.2,2.1,9.4,11.5,10.1,3.5,1.3,0.7,2.6,56,41,21,10.4,1
Zach LaVine,2022,CHI,28,55,25,30,36,24,8.3,17.9,46.5,2.7,7.4,36.9,4.6,5.5,83.6,0.5,4.4,4.9,4.1,2.6,1,0.2,2.3,36.9,2,0,-0.6,0
Jalen Brunson,2022,NYK,26,56,31,25,35.1,23.9,8.6,17.7,48.5,1.9,4.6,41.1,4.9,5.9,83.8,0.6,3,3.6,6.2,2,0.9,0.3,2.3,39.1,4,0,1.5,0
LaMelo Ball,2022,CHA,21,33,10,23,35.4,23.3,8.3,20.3,40.8,3.9,10.6,36.5,2.9,3.3,86.4,1.2,5.1,6.3,8.4,3.5,1.3,0.3,3.4,45,15,3,-5.4,0
Paul George,2022,LAC,33,44,27,17,34.2,23.3,8.1,17.6,46.1,3,7.7,38.2,4.1,4.7,87.4,0.7,5.4,6.1,5.3,3.3,1.5,0.3,2.7,40.5,6,1,3.2,1
Bradley Beal,2022,WAS,30,36,20,16,32.9,23.1,8.8,16.9,52,1.8,4.7,37.5,3.8,4.4,85.4,0.8,2.7,3.5,5.2,2.8,0.9,0.6,1.9,36.9,1,0,1.8,0
Kristaps Porzingis,2022,WAS,27,50,22,28,32.5,22.8,7.4,15.3,48.7,2,5.4,37,5.9,7,84.3,1.9,6.7,8.6,2.5,2.2,0.9,1.5,3.1,42,17,0,1.2,0
Brandon Ingram,2022,NOP,25,24,12,12,32.2,22.4,8.1,17.3,46.9,1.5,3.8,40.7,4.7,5.4,87.6,0.5,4.5,5,4.9,3.3,0.8,0.5,2.5,36.1,1,0,1.6,0
Kawhi Leonard,2022,LAC,32,34,23,11,32.4,22.1,8.1,16.2,49.7,1.7,4.4,38,4.3,5,87,1.2,5,6.2,4,1.5,1.4,0.5,1.4,39.8,1,0,5.6,0
Keldon Johnson,2022,SAS,23,52,13,39,32.6,21.8,7.8,17.4,44.4,2.2,6.6,32.8,4.2,5.4,77.8,0.9,3.9,4.7,2.7,2.1,0.7,0.2,1.9,32.1,3,0,-8.6,0
Bojan Bogdanovic,2022,DET,34,56,15,41,32.1,21.8,7.3,14.9,49.1,2.4,6,40.7,4.7,5.3,88.3,0.6,3.1,3.7,2.6,2.3,0.6,0.1,1.9,29.9,0,0,-5.7,0
Jalen Green,2022,HOU,21,54,11,43,33.9,21.8,7.3,17.8,40.9,2.5,7.6,33.3,4.7,5.9,78.8,0.6,3.4,4,3.6,2.9,0.8,0.2,1.7,32.1,0,0,-7.4,0
Terry Rozier,2022,CHA,29,49,13,36,35.6,21.8,8.1,19.3,41.9,2.7,8.2,33.3,2.9,3.5,82,1,3.3,4.3,4.9,2.1,1.1,0.3,1.9,36.2,1,0,-4.9,0
Darius Garland,2022,CLE,23,51,28,23,35.2,21.7,7.5,16.1,46.8,2.5,6.1,41.9,4.2,4.8,86.2,0.4,2.3,2.7,8,3,1.3,0.1,2.2,38.1,15,0,5.5,0
Jimmy Butler,2022,MIA,33,44,24,20,33.7,21.7,7.2,14.2,50.7,0.5,1.7,30.3,6.8,8,85.1,2.2,3.8,6,5.1,1.7,2,0.4,1.3,41.9,6,0,1.3,0
Bam Adebayo,2022,MIA,25,54,29,25,35.3,21.6,8.5,15.7,54.4,0,0.2,9.1,4.5,5.6,80.5,2.7,7.3,10,3.3,2.5,1.2,0.8,2.8,42,28,0,2.7,1
